Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
11.6,0,1818.327,529687.4,4.315
11.6,0,1818.327,529687.8,2.5588
11.6,0,1818.327,529687.8,1.0382
11.6,0,1818.327,529690.0,1.1934
11.6,0,1818.327,529690.9,1.5512
11.6,0,1818.327,529691.0,1.9066
11.6,0,1818.327,529691.1,5.3088
9.8,0,1819.148,539820.5,6.292178
9.8,0,1819.148,539822.4,2.8418
9.8,0,1819.148,539823.1,4.315
9.8,0,1819.148,539823.4,2.5588
9.8,0,1819.148,539823.8,1.168533
9.8,0,1819.148,539824.3,1.1934
9.8,0,1819.148,539824.4,1.5512
9.8,0,1819.148,539824.4,1.9066
9.8,0,1819.148,539824.8,5.3088
9.8,0,1818.462,566714.9,6.3212
9.8,0,1818.462,566711.7,2.8418
9.8,0,1818.462,566712.3,4.315
9.8,0,1818.462,566712.4,2.5588
9.8,0,1818.462,566713.1,1.1946
9.8,0,1818.462,566713.3,1.1934
9.8,0,1818.462,566713.3,1.5512
9.8,0,1818.462,566713.4,1.9066
9.8,0,1818.462,566713.8,5.3088
8.9,0,1819.603,576744.3,6.3212
8.9,0,1819.603,576738.8,2.8418
8.9,0,1819.603,576738.8,4.325057
8.9,0,1819.603,576738.9,2.5588
8.9,0,1819.603,576738.9,1.1946
8.9,0,1819.603,576738.9,1.1934
8.9,0,1819.603,576738.9,1.5512
8.9,0,1819.603,576739.0,1.9066
8.9,0,1819.603,576739.8,5.3088
9.3,0,1818.862,586873.9,6.3212
9.3,0,1818.862,586868.9,2.8418
9.3,0,1818.862,586869.2,4.3726
9.3,0,1818.862,586869.4,2.5588
9.3,0,1818.862,586869.6,1.1946
9.3,0,1818.862,586870.3,1.1934
9.3,0,1818.862,586870.5,1.5512
9.3,0,1818.862,586870.6,1.9066
9.3,0,1818.862,586870.7,5.3088
10.9,0,1821,596930.1,6.594709
10.9,0,1821,596925.9,2.8418
10.9,0,1821,596926.1,4.3726
10.9,0,1821,596926.2,2.5588
10.9,0,1821,596926.3,1.1946
10.9,0,1821,596926.4,1.1934
10.9,0,1821,596926.4,1.5512
10.9,0,1821,596926.5,2.195811
10.9,0,1821,596927.1,5.497309
9.9,0,1818.678,607115.6,6.751
9.9,0,1818.678,607110.6,2.8418
